Question,Target,Object,Location
người ở bên cạnh tôi là ai,ai,tôi,cạnh
người ở phía trước tôi là ai,ai,tôi,trước
người ở đằng sau tôi là ai,ai,tôi,sau
người ở bên phải tôi là ai,ai,tôi,phải
người ở bên trái tôi là ai,ai,tôi,trái
người bên cạnh tôi là ai,ai,tôi,cạnh
người phía trước tôi là ai,ai,tôi,trước
người phía sau tôi là ai,ai,tôi,sau
người bên phải tôi là ai,ai,tôi,phải
người bên trái tôi là ai,ai,tôi,trái
bên cạnh tôi là ai,ai,tôi,cạnh
đằng trước tôi là ai ,ai,tôi,trước
đằng sau tôi là ai,ai,tôi,sau
bên phải tôi là ai,ai,tôi,phải
bên trái tôi là ai,ai,tôi,trái
ai đang ở bên cạnh tôi,ai,tôi,cạnh
ai đang ở phía trước tôi,ai,tôi,trước
ai đang ở đằng sau tôi,ai,tôi,sau
ai đang ở bên phải tôi,ai,tôi,phải
ai đang ở bên trái tôi,ai,tôi,trái
trên tay tôi là cái gì,cái gì,tay tôi,trên
trong tay tôi là cái gì,cái gì,tay tôi,trong
trên tay tôi có cái gì,cái gì,tay tôi,trên
trong tay tôi có cái gì,cái gì,tay tôi,trong
cái gì đang ở trên tay tôi,cái gì,tay tôi,trên
cái gì đang ở trong tay tôi,cái gì,tay tôi,trong
cái gì đang ở trên bàn,cái gì,bàn,trên
ở trên bàn có cái gì,cái gì,bàn,trên
cái gì đang ở trên mặt bàn,cái gì,bàn,trên
trên mặt bàn có cái gì,cái gì,bàn,trên
có cái gì trên cái bàn,cái gì,bàn ,trên
trên cái bàn có cái gì,cái gì,bàn,trên
cạnh cái bàn có cái gì,cái gì,bàn,cạnh
ở cạnh cái bàn có cái gì,cái gì,bàn,cạnh
cái gì ở bên cạnh cái bàn,cái gì,bàn,cạnh
cái gì ở dưới cái bàn,cái gì,bàn,dưới
ở dưới cái bàn có cái gì,cái gì,bàn,dưới
cái gì đang ở dưới cái bàn,cái gì,bàn,dưới
cái gì ở bên phải cái bàn,cái gì,bàn,phải
cái gì ở bên trái cái bàn,cái gì,bàn,trái
bên trái cái bàn có cái gì,cái gì,bàn,trái
ở bên phải cái bàn có cái gì,cái gì,bàn,phải
cái gì ở bên phải cái bàn,cái gì,bàn,phải
cái gì ở bên cạnh cái laptop,cái gì,laptop,cạnh
ở bên cạnh cái laptop có cái gì,cái gì,laptop,cạnh
bên cạnh cái laptop đang có cái gì,cái gì,laptop,cạnh
phía trước cái laptop có cái gì,cái gì,laptop,trước
cái gì đang ở phía trước cái laptop,cái gì,laptop,trước
phía sau cái laptop có cái gì,cái gì,laptop,sau
có cái gì đằng sau cái laptop,cái gì,laptop,sau
bên phải cái laptop có cái gì,cái gì,laptop,phải
cái gì đang ở bên phải cái laptop,cái gì,laptop,phải
bên trái laptop có cái gì,cái gì,laptop,trái
có cái gì ở bên trái cái laptop,cái gì,laptop,trái
ở xung quanh cái laptop đang có cái gì,cái gì,laptop,quanh
